Timestamp,Temperatura,Humedad
2025-02-18 13:48:21,0.7002454,86.43454
2025-02-18 13:53:21,0.2502454,86.5709
2025-02-18 13:58:21,0.070245415,86.48428
2025-02-18 14:03:21,-0.03975457,87.051
2025-02-18 14:08:21,-0.33975458,88.51694
2025-02-18 14:13:21,-0.4597546,88.96579
2025-02-18 14:18:21,-0.3297546,89.310905
2025-02-18 14:23:21,-0.5397546,89.82164
2025-02-18 14:28:21,0.4202454,86.39971
2025-02-18 14:33:21,1.2602453,83.68165
2025-02-18 14:38:21,2.4402454,78.835884
2025-02-18 14:43:21,3.3002453,77.21053
2025-02-18 14:48:21,3.9202452,76.48018
2025-02-18 14:53:21,4.5802455,75.44074
2025-02-18 14:58:21,4.880245,74.24684
2025-02-18 15:03:21,4.730245,74.16357
2025-02-18 15:08:21,4.2002454,77.82288
2025-02-18 15:13:21,3.1402454,83.639404
2025-02-18 15:18:21,3.4302454,80.458275
2025-02-18 15:23:21,3.4302454,81.10543
2025-02-18 15:28:21,2.5502453,83.801445
2025-02-18 15:33:21,1.8002454,85.93752
2025-02-18 15:38:21,1.2702454,86.82349
2025-02-18 15:43:21,1.0602454,87.054245
2025-02-18 15:48:21,0.9502454,87.49119
2025-02-18 15:53:21,0.6302454,87.71261
2025-02-18 15:58:21,0.5402454,88.28717
2025-02-18 16:03:21,0.5102454,88.21866
2025-02-18 16:08:21,0.8002454,87.991196
2025-02-18 16:13:21,1.1102455,87.57413
2025-02-18 16:18:21,1.3502455,87.28073
2025-02-18 16:23:21,1.6102453,87.11929
2025-02-18 16:28:21,1.5202454,87.42868
2025-02-18 16:33:21,1.6202455,86.357315
2025-02-18 16:38:21,2.0002456,86.5303
2025-02-18 16:43:21,2.5302453,85.52851
2025-02-18 16:48:21,3.2002454,83.526245
2025-02-18 16:53:21,3.6902456,82.871025
2025-02-18 16:58:21,3.9902453,81.486595
2025-02-18 17:03:21,4.0302453,81.02187
2025-02-18 17:08:21,2.6902456,87.435074
2025-02-18 17:13:21,2.9702454,84.471954
2025-02-18 17:18:21,3.4202452,84.10408
2025-02-18 17:23:21,2.2602453,87.38605
2025-02-18 17:28:21,1.5002453,88.7818
2025-02-18 17:33:21,1.7202454,87.9651
2025-02-18 17:38:21,0.5902454,88.3579
2025-02-18 17:43:21,0.4302454,89.126595
2025-02-18 17:48:21,0.23024541,89.369415
2025-02-18 17:53:21,-0.05975461,89.87022
2025-02-18 17:58:21,-0.22975457,90.320595
2025-02-18 18:03:21,-0.34975457,90.71165
2025-02-18 18:08:21,-0.2697546,90.71923
2025-02-18 18:13:21,-0.39975458,90.572426
2025-02-18 18:18:21,-0.3897546,90.30495
2025-02-18 18:23:21,-0.3097546,90.37978
2025-02-18 18:28:21,0.3802454,89.51701
2025-02-18 18:33:21,0.89024544,88.58631
2025-02-18 18:38:21,1.1502454,89.398224
2025-02-18 18:43:21,1.8602453,87.531784
2025-02-18 18:48:21,2.3602452,86.19585
2025-02-18 18:53:21,2.9002452,85.1411
2025-02-18 18:58:21,3.1102452,84.12311
2025-02-18 19:03:21,2.8002453,85.93681
2025-02-18 19:08:21,1.7002454,91.832634
2025-02-18 19:13:21,2.9602456,86.51975
2025-02-18 19:18:21,2.3202453,88.54527
2025-02-18 19:23:21,1.9502454,89.28361
2025-02-18 19:28:21,1.7902454,89.46297
2025-02-18 19:33:21,0.7202454,91.279915
2025-02-18 19:38:21,0.3002454,87.93449
2025-02-18 19:43:21,-0.14975458,87.62205
2025-02-18 19:48:21,-0.5397546,87.96877
2025-02-18 19:53:21,-0.87975454,88.06095
2025-02-18 19:58:21,-1.0097545,87.45484
2025-02-18 20:03:21,-1.1397547,87.04676
2025-02-18 20:08:21,-1.3697546,86.626816
2025-02-18 20:13:21,-1.3797545,85.65341
2025-02-18 20:18:21,-1.2797546,84.45007
2025-02-18 20:23:21,-1.1697546,84.21164
2025-02-18 20:28:21,-0.76975465,86.44314
2025-02-18 20:33:21,-0.16975462,86.776596
2025-02-18 20:38:21,0.9602454,82.103516
2025-02-18 20:43:21,2.0602455,76.19021
2025-02-18 20:48:21,3.4002452,73.90062
2025-02-18 20:53:21,4.5602455,71.002594
2025-02-18 20:58:21,5.2402453,69.050735
2025-02-18 21:03:21,5.3202453,70.28856
2025-02-18 21:08:21,4.150245,73.18753
2025-02-18 21:13:21,2.4702454,82.030685
2025-02-18 21:18:21,1.1202455,88.41611
2025-02-18 21:23:21,0.5902454,90.06763
2025-02-18 21:28:21,-1.2997546,94.204315
2025-02-18 21:33:21,-2.2597547,94.56087
2025-02-18 21:38:21,-2.5597544,91.872826
2025-02-18 21:43:21,-2.7997546,91.851166
2025-02-18 21:48:21,-3.0297546,91.48307
2025-02-18 21:53:21,-3.1697545,92.86716
2025-02-18 21:58:21,-3.5297546,94.25704
2025-02-18 22:03:21,-3.6797547,94.460945
2025-02-18 22:08:21,-3.8697548,95.74783
2025-02-18 22:13:21,-3.9197545,94.51545
2025-02-18 22:18:21,-3.8997545,93.80046
2025-02-18 22:23:21,-3.8997545,94.014885
2025-02-18 22:28:21,-2.5097547,87.3382
2025-02-18 22:33:21,-0.60975456,83.8501
2025-02-18 22:38:21,1.0302454,77.949
2025-02-18 22:43:21,2.1502454,71.37925
2025-02-18 22:48:21,3.2102456,70.554184
2025-02-18 22:53:21,4.0202456,71.46251
2025-02-18 22:58:21,4.730245,72.45407
2025-02-18 23:03:21,4.650245,78.353676
2025-02-18 23:08:21,2.5502453,88.056656
2025-02-18 23:13:21,0.9802454,92.853226
2025-02-18 23:18:21,-0.04975462,94.91665
2025-02-18 23:23:21,-0.47975457,96.58476
2025-02-18 23:28:21,-0.8297546,97.42718
2025-02-18 23:33:21,-0.98975456,97.060585
2025-02-18 23:38:21,-0.73975456,95.78994
2025-02-18 23:43:21,-0.98975456,95.91776
2025-02-18 23:48:21,-1.1297545,95.98108
2025-02-18 23:53:21,-0.8297546,95.57245
2025-02-18 23:58:21,-0.6697546,95.440575
2025-02-19 00:03:21,-0.6697546,96.00644
2025-02-19 00:08:21,-0.3797546,96.58973
2025-02-19 00:13:21,-0.07975459,96.32105
2025-02-19 00:18:21,0.17024541,96.40444
2025-02-19 00:23:21,0.4002454,95.7127
2025-02-19 00:28:21,1.2302454,94.30528
2025-02-19 00:33:21,1.8502454,92.58211
2025-02-19 00:38:21,2.3702455,93.0245
2025-02-19 00:43:21,2.7402453,92.11682
2025-02-19 00:48:21,3.2102456,90.25107
2025-02-19 00:53:21,3.5102453,88.989555
2025-02-19 00:58:21,3.7702456,87.998116
2025-02-19 01:03:21,3.7002454,88.43472
2025-02-19 01:08:21,3.3402452,89.48666
2025-02-19 01:13:21,3.0202456,89.51994
2025-02-19 01:18:21,2.5802455,90.6507
2025-02-19 01:23:21,2.5302453,89.86168
2025-02-19 01:28:21,2.8302455,86.94487
2025-02-19 01:33:21,2.6302452,86.79519
2025-02-19 01:38:21,2.6802454,84.24859
2025-02-19 01:43:21,2.6202455,83.62779
